snr_threshold_db,seed,pd
1,27,0.8709223187045294
1,28,0.971729755630091
1,29,0.9930049548236666
3,0,0.8806
3,1,0.9368665891344077
3,2,0.9736661323563087
3,3,0.9848116646415553
3,4,0.9272540983606558
3,5,0.950354609929078
3,6,0.9306866254474455
3,7,0.9646069045546852
3,8,0.9685002350728726
3,9,0.9668115369419202
3,10,0.9790924210026134
3,11,0.9511213341000575
3,12,0.9771952817824378
3,13,0.8850574712643678
3,14,0.9882659713168188
3,15,0.9799405646359584
3,16,0.9493670886075949
3,17,0.987706243934002
3,18,0.9945701357466064
3,19,0.9763588603758335
3,20,0.9054388133498146
3,21,0.9878656554712892
3,22,0.9942418426103646
3,23,0.9921740790227143
3,24,0.9675447839831401
3,25,0.9904829044765597
3,26,0.9873667587840506
3,27,0.7864351091293124
3,28,0.9525634882606613
3,29,0.9863013698630136
5,0,0.82
5,1,0.8843661737830204
5,2,0.9546599496221663
5,3,0.9708383961117861
5,4,0.8789275956284153
5,5,0.919827320382362
5,6,0.8782948259030263
5,7,0.9454598201334494
5,8,0.9433474377056887
5,9,0.9488344527854603
5,10,0.9610358755048705
5,11,0.91738547057696
5,12,0.964089121887287
5,13,0.8140020898641588
5,14,0.9820078226857888
5,15,0.9581475978207034
5,16,0.9065910082933217
5,17,0.9792947266256875
5,18,0.9886877828054299
5,19,0.9543342089310972
5,20,0.8584672435105068
5,21,0.9778981581798484
5,22,0.9860159034823143
5,23,0.9849207864096201
5,24,0.9388830347734457
5,25,0.9806133239337328
5,26,0.9778918278720884
5,27,0.666040835484628
5,28,0.9175850503114519
5,29,0.9723112795103468
7,0,0.7486
7,1,0.8067785346403057
7,2,0.9193954659949622
7,3,0.9447144592952612
7,4,0.8172814207650273
7,5,0.8815911193339501
7,6,0.8096322811584771
7,7,0.910646939367566
7,8,0.9111424541607899
7,9,0.9239431054919004
7,10,0.927536231884058
7,11,0.8673567184205482
7,12,0.9378768020969855
7,13,0.7210031347962382
7,14,0.9627118644067797
7,15,0.9259534422981675
7,16,0.8489742470536883
7,17,0.9666774506632158
7,18,0.9778280542986425
7,19,0.9203879571630632
7,20,0.784301606922126
7,21,0.9627302275189599
7,22,0.9739511927611736
