============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed=26  round_robin             rate=0.349  reward=0.127
    seed=26  random                  rate=0.355  reward=0.129
    seed=26  wiql_ucb                rate=0.519  reward=0.189
    seed=26  wiql_ucb_no_bias        rate=0.511  reward=0.186
    seed=27  round_robin             rate=0.328  reward=0.082
    seed=27  random                  rate=0.324  reward=0.081
    seed=27  wiql_ucb                rate=0.038  reward=0.009
    seed=27  wiql_ucb_no_bias        rate=0.315  reward=0.079
    seed=28  round_robin             rate=0.297  reward=0.091
    seed=28  random                  rate=0.289  reward=0.088
    seed=28  wiql_ucb                rate=0.027  reward=0.007
    seed=28  wiql_ucb_no_bias        rate=0.448  reward=0.138
    seed=29  round_robin             rate=0.354  reward=0.099
    seed=29  random                  rate=0.361  reward=0.101
    seed=29  wiql_ucb                rate=0.849  reward=0.239
    seed=29  wiql_ucb_no_bias        rate=0.601  reward=0.169
    Wilcoxon WIQL vs round_robin: p=0.7011
    Wilcoxon WIQL vs random: p=0.6868

  Scenario: freq_agile | seeds=30 T=5000 dt=1000μs
    seed= 0  round_robin             rate=0.301  reward=0.240
    seed= 0  random                  rate=0.299  reward=0.238
    seed= 0  wiql_ucb                rate=0.174  reward=0.138
    seed= 0  wiql_ucb_no_bias        rate=0.455  reward=0.363
    seed= 1  round_robin             rate=0.249  reward=0.192
    seed= 1  random                  rate=0.251  reward=0.194
    seed= 1  wiql_ucb                rate=0.112  reward=0.086
    seed= 1  wiql_ucb_no_bias        rate=0.392  reward=0.303
    seed= 2  round_robin             rate=0.343  reward=0.271
    seed= 2  random                  rate=0.339  reward=0.269
    seed= 2  wiql_ucb                rate=0.497  reward=0.394
    seed= 2  wiql_ucb_no_bias        rate=0.484  reward=0.383
    seed= 3  round_robin             rate=0.325  reward=0.231
    seed= 3  random                  rate=0.324  reward=0.230
    seed= 3  wiql_ucb                rate=0.377  reward=0.268
    seed= 3  wiql_ucb_no_bias        rate=0.350  reward=0.249
    seed= 4  round_robin             rate=0.373  reward=0.262
    seed= 4  random                  rate=0.372  reward=0.262
    seed= 4  wiql_ucb                rate=0.250  reward=0.176
    seed= 4  wiql_ucb_no_bias        rate=0.458  reward=0.322
    seed= 5  round_robin             rate=0.320  reward=0.262
    seed= 5  random                  rate=0.316  reward=0.259
    seed= 5  wiql_ucb                rate=0.257  reward=0.210
    seed= 5  wiql_ucb_no_bias        rate=0.462  reward=0.379
    seed= 6  round_robin             rate=0.282  reward=0.200
    seed= 6  random                  rate=0.290  reward=0.205
    seed= 6  wiql_ucb                rate=0.213  reward=0.150
    seed= 6  wiql_ucb_no_bias        rate=0.392  reward=0.278
    seed= 7  round_robin             rate=0.343  reward=0.277
    seed= 7  random                  rate=0.340  reward=0.275
    seed= 7  wiql_ucb                rate=0.254  reward=0.204
    seed= 7  wiql_ucb_no_bias        rate=0.420  reward=0.339
    seed= 8  round_robin             rate=0.324  reward=0.248
    seed= 8  random                  rate=0.323  reward=0.247
    seed= 8  wiql_ucb                rate=0.242  reward=0.185
    seed= 8  wiql_ucb_no_bias        rate=0.440  reward=0.337
    seed= 9  round_robin             rate=0.326  reward=0.249
    seed= 9  random                  rate=0.331  reward=0.253
